#2th	#Int
12.8380	2577.7235
12.8390	2577.3153
12.8400	2578.0951
12.8410	2580.5237
12.8420	2578.2189
12.8430	2577.1797
12.8440	2576.7353
12.8450	2576.4353
12.8460	2575.9012
12.8470	2575.0356
12.8480	2573.3488
12.8490	2570.6696
12.8500	2570.5743
12.8510	2569.3413
12.8520	2566.7163
12.8530	2564.9425
12.8540	2565.4624
12.8550	2562.2481
12.8560	2561.8937
12.8570	2559.1114
12.8580	2555.9791
12.8590	2555.6518
12.8600	2556.0599
12.8610	2556.3992
12.8620	2553.2003
12.8630	2553.8331
12.8640	2554.2903
12.8650	2553.5046
12.8660	2554.3022
12.8670	2556.3396
12.8680	2556.4626
12.8690	2554.9351
12.8700	2553.9205
12.8710	2554.0395
12.8720	2554.3678
12.8730	2554.4213
12.8740	2557.3380
12.8750	2555.7965
12.8760	2558.5306
12.8770	2558.5914
12.8780	2560.7700
12.8790	2563.7904
12.8800	2561.2845
12.8810	2559.3035
12.8820	2558.4872
12.8830	2558.9242
12.8840	2558.0128
12.8850	2560.3175
12.8860	2560.3413
12.8870	2560.4009
12.8880	2559.0317
12.8890	2559.9737
12.8900	2561.3880
12.8910	2561.8536
12.8920	2559.9488
12.8930	2560.3988
12.8940	2560.9227
12.8950	2556.3679
12.8960	2555.9729
12.8970	2555.1674
12.8980	2553.8089
12.8990	2554.4042
12.9000	2553.8361
12.9010	2552.9770
12.9020	2553.4056
12.9030	2553.2973
12.9040	2553.2708
12.9050	2554.0863
12.9060	2550.6387
12.9070	2548.7509
12.9080	2547.3144
12.9090	2547.1779
12.9100	2545.5772
12.9110	2542.9843
12.9120	2543.4473
12.9130	2544.1854
12.9140	2543.1759
12.9150	2541.1759
12.9160	2542.7360
12.9170	2543.8456
12.9180	2542.2979
12.9190	2541.3039
12.9200	2538.0063
12.9210	2535.6491
12.9220	2537.7666
12.9230	2538.4499
12.9240	2534.9460
12.9250	2533.7700
12.9260	2533.3117
12.9270	2535.0927
12.9280	2536.1807
12.9290	2535.8235
12.9300	2534.7269
12.9310	2533.9828
12.9320	2533.8485
12.9330	2531.9794
12.9340	2531.6651
12.9350	2530.9223
12.9360	2532.6247
12.9370	2531.1907
12.9380	2532.1169
12.9390	2534.4264
12.9400	2536.1942
12.9410	2538.2696
12.9420	2539.6268
12.9430	2537.6506
12.9440	2536.6837
12.9450	2538.6063
12.9460	2539.0536
12.9470	2538.3988
12.9480	2537.7866
12.9490	2537.1101
12.9500	2533.8799
12.9510	2532.7544
12.9520	2532.6175
12.9530	2531.0495
12.9540	2532.2102
12.9550	2532.5631
12.9560	2532.4792
12.9570	2530.4744
12.9580	2531.2652
12.9590	2529.4974
12.9600	2527.6708
12.9610	2526.8454
12.9620	2525.8772
12.9630	2526.2700
12.9640	2528.2677
12.9650	2525.8655
12.9660	2525.7643
12.9670	2524.8647
12.9680	2525.2504
12.9690	2523.7606
12.9700	2524.5606
12.9710	2527.8293
12.9720	2527.0266
12.9730	2527.9552
12.9740	2529.5885
12.9750	2528.6812
12.9760	2528.6663
12.9770	2528.3503
12.9780	2527.9384
12.9790	2526.2547
12.9800	2523.8440
12.9810	2523.6028
12.9820	2523.3597
12.9830	2521.4113
12.9840	2519.6553
12.9850	2519.1536
12.9860	2519.2489
12.9870	2517.6791
12.9880	2519.2768
12.9890	2517.4982
12.9900	2517.3859
12.9910	2517.7050
12.9920	2517.2458
12.9930	2517.2509
12.9940	2516.3223
12.9950	2516.4658
12.9960	2518.5259
12.9970	2517.2368
12.9980	2516.6272
12.9990	2516.9963
13.0000	2517.9189
13.0010	2521.5380
13.0020	2520.7724
13.0030	2519.4480
13.0040	2521.2774
13.0050	2522.5452
13.0060	2520.9636
13.0070	2520.4398
13.0080	2521.7330
13.0090	2519.2274
13.0100	2520.7203
13.0110	2519.1885
13.0120	2516.2659
13.0130	2516.7278
13.0140	2517.4361
13.0150	2517.7457
13.0160	2515.6832
13.0170	2512.7744
13.0180	2512.5993
13.0190	2512.0302
13.0200	2512.3159
13.0210	2511.5563
13.0220	2509.2366
13.0230	2511.4059
13.0240	2511.8226
13.0250	2512.0454
13.0260	2510.9144
13.0270	2510.6239
13.0280	2510.5573
13.0290	2509.7623
13.0300	2509.2457
13.0310	2507.7409
13.0320	2507.7370
13.0330	2507.1120
13.0340	2505.8366
13.0350	2506.1401
13.0360	2507.5878
13.0370	2508.5375
13.0380	2509.7994
13.0390	2509.9133
13.0400	2509.3141
13.0410	2508.5250
13.0420	2510.1120
